age,gender,income,education,purchase_frequency,last_purchase_amount
30,Female,52039,PhD,Weekly,33
37,Male,42946,PhD,Bi-Weekly,41
38,Female,71075,Master,Monthly,110
40,Female,48095,Bachelor,Bi-Weekly,45
55,Female,79142,High School,Weekly,99
23,Male,36327,Bachelor,Yearly,28
58,Female,101370,PhD,Monthly,163
30,Female,66325,Master,Weekly,49
53,Male,96167,PhD,Monthly,171
28,Female,55695,Bachelor,Yearly,91
67,Male,94805,High School,Monthly,148
46,Female,58922,PhD,Monthly,75
70,Female,102763,Master,Yearly,228
25,Male,49372,Bachelor,Bi-Weekly,46
27,Male,50338,PhD,Yearly,76
51,Male,97044,Bachelor,Monthly,171
33,Male,62913,High School,Weekly,55
70,Male,107634,Master,Bi-Weekly,134
26,Female,30000,Bachelor,Bi-Weekly,35
27,Male,39577,Bachelor,Weekly,20
24,Male,45443,Bachelor,Weekly,35
54,Female,79634,Master,Bi-Weekly,99
28,Female,60224,PhD,Yearly,112
53,Female,67313,Bachelor,Monthly,99
29,Male,48396,High School,Bi-Weekly,56
33,Male,54895,PhD,Yearly,87
23,Male,30000,PhD,Bi-Weekly,20
54,Female,68771,PhD,Yearly,134
27,Female,64023,High School,Yearly,132
51,Male,78100,PhD,Monthly,122
25,Female,30000,Bachelor,Bi-Weekly,20
67,Male,102988,Bachelor,Weekly,119
19,Female,30000,Bachelor,Weekly,20
59,Female,93686,PhD,Bi-Weekly,132
57,Female,107331,High School,Weekly,113
46,Male,60372,Bachelor,Yearly,135
47,Male,67755,Master,Monthly,109
18,Female,30000,High School,Yearly,46
55,Female,86083,Master,Yearly,177
20,Male,30000,PhD,Bi-Weekly,20
48,Female,88542,High School,Monthly,141
38,Female,54461,PhD,Weekly,32
43,Male,53811,Bachelor,Bi-Weekly,60
42,Female,71114,Bachelor,Monthly,109
23,Female,30000,Master,Weekly,24
38,Male,69700,High School,Monthly,98
33,Male,71288,High School,Bi-Weekly,98
29,Male,53687,PhD,Bi-Weekly,71
22,Male,43411,High School,Yearly,82
42,Female,83083,Master,Weekly,88
58,Female,91580,PhD,Monthly,157
30,Female,66765,PhD,Yearly,121
55,Female,76382,PhD,Monthly,107
24,Female,45555,PhD,Monthly,58
58,Female,99387,PhD,Bi-Weekly,148
22,Male,42641,Bachelor,Bi-Weekly,38
32,Female,35423,PhD,Bi-Weekly,23
25,Male,30000,High School,Yearly,35
59,Female,100203,High School,Monthly,159
52,Male,96958,High School,Yearly,208
39,Female,81174,High School,Weekly,84
37,Male,70734,Master,Monthly,113
70,Male,111100,PhD,Bi-Weekly,148
56,Female,78374,Master,Yearly,178
70,Male,125921,Bachelor,Monthly,225
69,Male,117330,High School,Yearly,250
26,Male,47766,Master,Bi-Weekly,48
64,Female,99569,PhD,Weekly,126
40,Male,53736,Master,Bi-Weekly,65
44,Male,76783,High School,Monthly,133
65,Male,87947,Bachelor,Bi-Weekly,100
41,Male,81380,High School,Weekly,78
51,Male,93342,PhD,Yearly,196
65,Male,89703,Master,Monthly,128
32,Female,54795,Master,Bi-Weekly,80
64,Female,122745,Bachelor,Weekly,150
46,Male,71666,Master,Bi-Weekly,99
32,Male,47966,Bachelor,Weekly,56
66,Female,121518,High School,Weekly,132
50,Male,98242,Master,Bi-Weekly,134
20,Female,44066,High School,Yearly,62
63,Male,109485,High School,Bi-Weekly,137
66,Male,115640,Master,Yearly,250
65,Female,89953,Master,Weekly,103
39,Male,44800,PhD,Yearly,64
70,Female,127289,High School,Weekly,133
55,Male,84130,High School,Monthly,137
62,Female,102246,Bachelor,Monthly,186
28,Male,48116,Bachelor,Monthly,55
28,Female,44553,High School,Weekly,26
18,Female,34033,Master,Bi-Weekly,30
27,Male,42635,Bachelor,Weekly,20
69,Male,92842,High School,Weekly,87
61,Male,98694,High School,Monthly,166
66,Male,114474,High School,Yearly,250
34,Female,41779,High School,Bi-Weekly,44
52,Male,78645,Bachelor,Bi-Weekly,86
41,Female,55591,Bachelor,Bi-Weekly,75
27,Female,30000,PhD,Weekly,34
40,Male,78029,High School,Monthly,109
50,Female,81924,High School,Weekly,101
63,Female,90934,High School,Monthly,150
29,Female,65578,PhD,Yearly,132
29,Male,43235,Master,Bi-Weekly,56
63,Female,115851,High School,Monthly,196
70,Female,106731,Master,Weekly,115
25,Male,30000,PhD,Monthly,25
38,Female,78179,Master,Weekly,65
53,Female,82907,Bachelor,Monthly,141
70,Female,111514,High School,Yearly,250
69,Female,103042,High School,Weekly,99
37,Male,52300,Bachelor,Yearly,93
52,Male,84956,Bachelor,Monthly,129
28,Female,30718,PhD,Monthly,22
26,Male,55349,PhD,Yearly,89
40,Female,74257,Bachelor,Bi-Weekly,101
59,Male,91932,High School,Weekly,117
63,Male,92598,Bachelor,Yearly,190
47,Female,66334,Bachelor,Monthly,87
65,Male,93282,Bachelor,Bi-Weekly,109
38,Female,68298,Master,Weekly,80
29,Male,56433,PhD,Yearly,114
65,Female,102971,Bachelor,Yearly,230
34,Male,55680,Bachelor,Monthly,96
23,Female,30000,Bachelor,Weekly,20
60,Female,87840,Master,Bi-Weekly,109
66,Male,108957,PhD,Monthly,171
58,Male,101537,High School,Monthly,158
54,Female,85005,Master,Yearly,184
39,Male,56219,Master,Monthly,90
51,Female,69104,High School,Bi-Weekly,69
45,Male,86330,Bachelor,Yearly,198
19,Female,44002,Master,Weekly,50
62,Female,99366,PhD,Weekly,121
24,Male,36973,Bachelor,Yearly,45
53,Male,104120,Master,Yearly,238
46,Female,62469,Master,Monthly,97
22,Male,53942,,Bi-Weekly,49
24,Male,54081,,Weekly,50
70,Male,122892,Master,Bi-Weekly,184
33,Female,57387,High School,Monthly,78
48,Male,61331,Master,Bi-Weekly,73
35,Female,72892,High School,Weekly,78
23,Female,30000,Master,Bi-Weekly,20
36,Female,39887,PhD,Yearly,69
37,Male,75053,Master,Weekly,90
34,Female,45908,High School,Bi-Weekly,38
64,Male,94472,High School,Bi-Weekly,136
68,Female,120263,High School,Yearly,250
30,Female,48469,,Weekly,29
